location,list_price (RM),unit_price (RM)/m2,number_bedroom,number_bathroom,area(m2),type,type_encoded,location_encoded
Klang. Selangor,115120261090,27201.288866068924,10.0,10.0,4232162.0,office,9,8
Johor Bahru. Johor,3573900000,22313410.0,20.0,8.0,16016.0,Commercial,1,5
Klang. Selangor,63632618040,27201.296289567537,10.0,10.0,2339323.0,office,9,8
Johor Bahru. Johor,9025000000,19746700.0,20.0,8.0,457.0,Commercial,1,5
Johor Bahru. Johor,1570350000,75690.46127150914,20.0,2.0,20747.0,Commercial,1,5
Johor Bahru. Johor,18050000000,33351.995668859956,20.0,20.0,541197.0,commercial,8,5
Johor Bahru. Johor,10108000000,18302700.0,20.0,8.0,55231.0,Commercial,1,5
Johor Bahru. Johor,15251130900,3497163.7009860124,20.0,20.0,4361.0,commercial,8,5
Kuala Lumpur. Kuala Lumpur,7581000000,20602270.0,20.0,8.0,368.0,Commercial,1,12
Pontian. Johor,24489236420,738294.7368103708,20.0,20.0,33170.0,commercial,8,20
Johor Bahru. Johor,35568344470,213717.3924303148,20.0,20.0,166427.0,commercial,8,5
Seremban. Negeri Sembilan,1263500000,700340.0,4.0,4.0,1800.0,House,3,24
Kuala Lumpur. Kuala Lumpur,1841100000,1805000.0,3.0,2.0,1021.0,Apartment,0,12
Kinta. Perak,1620168000,10385970.0,4.0,4.0,156.0,House,3,7
Kinta. Perak,1114768000,12118770.0,4.0,2.0,92.0,House,3,7
Kinta. Perak,1725580000,9692850.0,4.0,4.0,178.0,House,3,7
Kinta. Perak,705755000,9537620.0,3.0,2.0,74.0,House,3,7
Kinta. Perak,1006756800,10837220.0,4.0,2.0,929.0,House,3,7
Kinta. Perak,1475768000,8292170.0,4.0,4.0,178.0,House,3,7
Penampang. Sabah,2928323700,12787439.737991266,5.0,3.0,229.0,House,3,18
Johor,4295900000,1263500.0,4.0,4.0,3400.0,House,3,4
Kinta. Perak,1186968000,12761350.0,4.0,2.0,93.0,House,3,7
Papar. Sabah,1046900000,13086250.0,3.0,2.0,80.0,House,3,17
Kinta. Perak,1877200000,10147710.0,5.0,4.0,185.0,House,3,7
Kinta. Perak,750880000,6216420.0,3.0,2.0,12077.0,Apartment,0,7
Kinta. Perak,1078668000,11598930.0,4.0,2.0,93.0,House,3,7
Ulu Langat. Selangor,2888000000,1407900.0,5.0,4.0,2052.0,House,3,25
Keningau. Sabah,1299600000,8122500.0,3.0,2.0,160.0,House,3,6
Ulu Langat. Selangor,592040000,826690.0,3.0,1.0,715.0,Apartment,0,25
Kuala Muda. Kedah,1371800000,8212750.0,4.0,3.0,167.0,House,3,13
Kinta. Perak,1295268000,7710960.0,4.0,4.0,168.0,House,3,7
Kinta. Perak,1364580000,15331670.0,3.0,2.0,89.0,House,3,7
Penampang. Sabah,8226785680,16818990.0,5.0,6.0,48913.0,House,3,18
Kinta. Perak,2267080000,8714540.0,5.0,4.0,26013.0,House,3,7
Gombak. Selangor,3021570000,1711140.0,4.0,3.0,1764.0,House,3,2
Kinta. Perak,1581180000,9884180.0,4.0,4.0,160.0,House,3,7
Ulu Selangor. Selangor,2093800000,873620.0,4.0,3.0,2400.0,House,3,26
Kuala Lumpur. Kuala Lumpur,2989080000,13407540.0,4.0,4.0,22296.0,House,3,12
Gombak. Selangor,2743600000,14064560.0,4.0,3.0,19509.0,House,3,2
Kuala Lumpur. Kuala Lumpur,3898800000,16266660.0,4.0,4.0,23968.0,House,3,12
Kuala Lumpur. Kuala Lumpur,4288680000,73867820.0,1.0,1.0,5806.0,Condo,2,12
Kinta. Perak,1292380000,13912940.0,4.0,2.0,929.0,House,3,7
Kuala Lumpur. Kuala Lumpur,2772480000,14212570.0,4.0,3.0,19509.0,House,3,12
Kuala Lumpur. Kuala Lumpur,4151500000,17187210.0,4.0,4.0,24154.0,House,3,12
Gombak. Selangor,2960200000,13277580.0,4.0,4.0,22296.0,House,3,2
Kuala Lumpur. Kuala Lumpur,1967450000,19699770.0,3.0,2.0,9987.0,Condo,2,12
Kinta. Perak,789868000,7729010.0,4.0,2.0,10219.0,House,3,7
Gombak. Selangor,2989080000,13407540.0,4.0,4.0,22296.0,House,3,2
Alor Gajah. Melaka,3249000000,106841560.0,1.0,1.0,3041.0,Condo,2,0
Kuala Lumpur. Kuala Lumpur,3350080000,15024820.0,4.0,4.0,22296.0,House,3,12
Gombak. Selangor,2991968000,14003190.0,4.0,4.0,21367.0,House,3,2
Kuala Lumpur. Kuala Lumpur,5162300000,74795590.0,1.0,1.0,6902.0,Condo,2,12
Kuala Lumpur. Kuala Lumpur,1516200000,10201860.0,3.0,2.0,14864.0,Condo,2,12
Johor Bahru. Johor,1689480000,1812220.0,3.0,2.0,933.0,Condo,2,5
Kuala Lumpur. Kuala Lumpur,15162000000,45807290.0,4.0,5.0,331.0,Condo,2,12
